time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,precipitation_hours,wind_speed_10m_max,Market Name
2025-10-07,45,27.1,20.6,23.3,0.5,6.0,12.7,pune
2025-10-08,45,29.1,19.1,23.5,0.0,0.0,13.5,pune
2025-10-09,45,29.5,20.7,24.3,0.0,0.0,12.7,pune
2025-10-10,2,29.2,20.4,24.5,0.0,0.0,10.2,pune
2025-10-11,2,29.0,20.7,24.5,0.0,0.0,13.3,pune
2025-10-12,2,29.7,20.0,24.4,0.0,0.0,13.0,pune
2025-10-13,2,29.6,20.2,24.7,0.0,0.0,11.2,pune
2025-10-14,2,29.7,19.3,24.2,0.0,0.0,13.0,pune
2025-10-15,80,29.3,20.1,24.4,1.8,6.0,15.1,pune
2025-10-16,80,29.9,20.8,24.7,1.1,9.0,17.5,pune
2025-10-17,3,30.5,21.2,25.7,0.0,0.0,18.1,pune
2025-10-18,3,30.2,21.4,25.6,0.3,6.0,13.1,pune
2025-10-19,3,30.6,21.7,25.9,0.0,0.0,19.3,pune
2025-10-20,3,30.9,21.3,25.5,0.2,3.0,19.2,pune
2025-10-21,96,30.3,20.8,24.9,7.6,6.0,20.9,pune
2025-10-22,3,29.7,22.3,25.3,0.2,3.0,19.3,pune
2025-10-23,95,30.5,22.2,25.5,5.2,6.0,22.1,pune
2025-10-24,95,28.2,22.4,24.6,7.8,15.0,21.4,pune
2025-10-25,96,28.2,22.0,24.3,12.7,15.0,15.1,pune
2025-10-26,95,27.0,21.4,23.7,6.1,9.0,13.7,pune
2025-10-27,95,28.4,21.8,24.2,11.6,9.0,14.5,pune
2025-10-28,45,28.6,21.6,24.2,0.0,0.0,9.5,pune
2025-10-29,3,28.7,20.0,24.0,0.0,0.0,14.1,pune
2025-10-30,3,25.8,21.2,23.4,0.0,0.0,13.8,pune
2025-10-31,3,26.0,19.6,22.8,0.0,0.0,14.5,pune
2025-11-01,45,26.4,21.3,23.6,0.0,0.0,13.6,pune
2025-11-02,3,26.5,21.3,23.4,0.1,3.0,13.6,pune
2025-11-03,45,27.1,20.3,23.1,0.0,0.0,15.9,pune
2025-11-04,45,26.8,20.5,22.9,0.0,0.0,15.2,pune
2025-11-05,45,26.6,18.8,22.0,0.0,0.0,10.8,pune
2025-11-06,45,27.7,18.7,22.4,0.0,0.0,12.6,pune
2025-11-07,3,28.5,19.6,23.4,0.0,0.0,13.9,pune
2025-11-08,2,28.0,17.2,22.6,0.0,0.0,8.4,pune
2025-11-09,1,27.1,16.3,21.3,0.0,0.0,7.2,pune
2025-11-10,2,27.4,15.4,21.1,0.0,0.0,7.6,pune
2025-11-11,2,27.5,14.1,20.6,0.0,0.0,7.6,pune
2025-11-12,3,27.9,15.7,21.5,0.0,0.0,10.0,pune
2025-11-13,1,27.6,15.1,21.3,0.0,0.0,10.8,pune
2025-11-14,1,27.2,14.6,20.8,0.0,0.0,10.4,pune
2025-11-15,0,26.9,13.0,19.9,0.0,0.0,12.1,pune
2025-11-16,0,26.7,13.3,19.7,0.0,0.0,15.2,pune
2025-11-17,0,26.7,11.4,18.8,0.0,0.0,17.0,pune
2025-11-18,0,26.5,10.8,18.8,0.0,0.0,17.9,pune
2025-11-19,0,27.1,11.0,19.0,0.0,0.0,8.6,pune
2025-11-20,1,27.5,11.8,19.8,0.0,0.0,13.4,pune
2025-11-21,0,28.3,12.3,20.2,0.0,0.0,14.0,pune
